Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
Denmark Independent BT,1600,1600,1600,0,0
Dowling Catholic BS,1600,1600,1600,0,0
Downtown Magnets LG,1600,1600,1600,0,0
Dripping Springs BC,1600,1600,1600,0,0
Dripping Springs CK,1600,1600,1600,0,0
Dripping Springs KT,1600,1600,1600,0,0
Duke Ellington SA,1600,1600,1600,0,0
Duke Ellington SO,1600,1600,1600,0,0
Duke Ellington SS,1600,1600,1600,0,0
Duke Ellington TA,1600,1600,1600,0,0
Duke Ellington TG,1600,1600,1600,0,0
Dulles IC,1600,1600,1600,0,0
Dulles MN,1600,1600,1600,0,0
Eagan HR,1600,1600,1600,0,0
Eagan MS,1600,1600,1600,0,0
Eagan NM,1600,1600,1600,0,0
Eagan SW,1600,1600,1600,0,0
Eagan TN,1600,1600,1600,0,0
Eagan WS,1600,1600,1600,0,0
Eagan WW,1600,1600,1600,0,0
Eastside HS,1600,1600,1600,0,0
Edina AC,1600,1600,1600,0,0
Edina AW,1600,1600,1600,0,0
Edina BK,1600,1600,1600,0,0
Edina BL,1600,1600,1600,0,0
Edina BT,1600,1600,1600,0,0
Edina LA,1600,1600,1600,0,0
Edina SK,1600,1600,1600,0,0
Edina TS,1600,1600,1600,0,0
Edison Prep BB,1600,1600,1600,0,0
Edmond Memorial HL,1600,1600,1600,0,0
Eleanor Roosevelt AA,1600,1600,1600,0,0
Eleanor Roosevelt NM,1600,1600,1600,0,0
Eliot Hine TT,1600,1600,1600,0,0
Elizabeth Learning Center BR,1600,1600,1600,0,0
Elizabeth Learning Center CV,1600,1600,1600,0,0
Elizabeth Learning Center ES,1600,1600,1600,0,0
Elizabeth Learning Center TM,1600,1600,1600,0,0
Elkins PS,1600,1600,1600,0,0
Emerald HM,1600,1600,1600,0,0
Emery KW,1600,1600,1600,0,0
Emery MT,1600,1600,1600,0,0
Farmington AS,1600,1600,1600,0,0
Farmington CN,1600,1600,1600,0,0
Farmington KN,1600,1600,1600,0,0
Farmington NS,1600,1600,1600,0,0
Fenway MH,1600,1600,1600,0,0
Forest Park AF,1600,1600,1600,0,0
Fort Collins CI,1600,1600,1600,0,0
Fort Collins EF,1600,1600,1600,0,0
Fort Collins FY,1600,1600,1600,0,0
Fox Chapel Independent RL,1600,1600,1600,0,0
Franklin SP,1600,1600,1600,0,0
Friendswood AK,1600,1600,1600,0,0
Friendswood PH,1600,1600,1600,0,0
Galloway DP,1600,1600,1600,0,0
Garfield TZ,1600,1600,1600,0,0
Garfield WN,1600,1600,1600,0,0
George Washington JZ,1600,1600,1600,0,0
George Washington MB,1600,1600,1600,0,0
George Washington MR,1600,1600,1600,0,0
George Washington PA,1600,1600,1600,0,0
George Washington VS,1600,1600,1600,0,0
Georgetown Day DX,1600,1600,1600,0,0
Georgetown Day GG,1600,1600,1600,0,0
Georgetown Day GK,1600,1600,1600,0,0
Georgetown Day GT,1600,1600,1600,0,0
Georgetown Day GX,1600,1600,1600,0,0
Georgetown Day HG,1600,1600,1600,0,0
Georgetown Day HL,1600,1600,1600,0,0
Georgetown Day KN,1600,1600,1600,0,0
Georgetown Day MT,1600,1600,1600,0,0
Georgetown Day MW,1600,1600,1600,0,0
Georgetown Day MX,1600,1600,1600,0,0
Georgetown Day WR,1600,1600,1600,0,0
Ghidotti Early CL,1600,1600,1600,0,0
Glenbrook North CiRi,1600,1600,1600,0,0
Glenbrook North CL,1600,1600,1600,0,0
Glenbrook North CR,1600,1600,1600,0,0
Glenbrook North DE,1600,1600,1600,0,0
Glenbrook North DeKo,1600,1600,1600,0,0
Glenbrook North DK,1600,1600,1600,0,0
Glenbrook North DP,1600,1600,1600,0,0
Glenbrook North FP,1600,1600,1600,0,0
Glenbrook North HW,1600,1600,1600,0,0
Glenbrook North JW,1600,1600,1600,0,0
Glenbrook North KS,1600,1600,1600,0,0
Glenbrook North SS,1600,1600,1600,0,0
Glenbrook North SY,1600,1600,1600,0,0
Glenbrook North WC,1600,1600,1600,0,0
Glenbrook North WK,1600,1600,1600,0,0
Glenbrook South BF,1600,1600,1600,0,0
Glenbrook South BW,1600,1600,1600,0,0
Glenbrook South CF,1600,1600,1600,0,0
Glenbrook South CP,1600,1600,1600,0,0
Glenbrook South KZ,1600,1600,1600,0,0
Glenbrook South MM,1600,1600,1600,0,0
Glenbrook South MP,1600,1600,1600,0,0
Glenbrook South PB,1600,1600,1600,0,0
Glenbrook South TB,1600,1600,1600,0,0
Goode STEM BH,1600,1600,1600,0,0
Goode STEM CH,1600,1600,1600,0,0
