,Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
661,Peninsula FL,1778.262,1679.988,1807.493,6.0,7.0
662,Peninsula FW,1691.213,1539.953,1615.452,2.0,3.0
663,Peninsula JL,1569.602,1245.657,1971.636,3.0,3.0
664,Peninsula JS,1663.945,1416.285,1766.851,17.0,16.0
665,Peninsula KK,2188.228,2143.94,2058.671,19.0,19.0
666,Peninsula KX,2614.998,2543.704,2528.325,24.0,22.0
667,Peninsula LiLi,1940.243,1729.125,2123.749,28.0,21.0
668,Peninsula LL,2526.043,2323.921,2751.407,28.0,25.0
669,Peninsula LS,1959.068,1816.6,2040.946,4.0,3.0
670,Peninsula LW,1761.938,1846.949,1600.465,18.0,21.0
671,Peninsula LY,1807.725,1767.85,1787.055,3.0,3.0
672,Peninsula MP,1325.639,1223.004,1708.288,3.0,3.0
673,Peninsula PY,1931.86,1744.519,1972.123,25.0,23.0
674,Peninsula SW,1414.604,1223.663,1700.315,3.0,3.0
675,Peninsula TW,1503.483,1561.11,1490.744,9.0,9.0
676,Peninsula UV,1080.36,1458.529,928.796,3.0,3.0
677,Peninsula WY,2105.626,2006.631,1929.733,4.0,3.0
678,Peninsula ZZ,1190.165,1165.578,1081.41,9.0,9.0
679,Perry TD,1194.24,1246.952,1377.012,3.0,3.0
680,Pharr San Juan Alamo Southwest CG,473.711,918.046,862.965,3.0,3.0
681,Pharr San Juan Alamo Southwest VC,1158.735,1699.269,1342.712,2.0,3.0
682,Pine Crest EA,1437.777,1014.429,1478.718,3.0,3.0
683,Pine Crest MK,925.016,1069.471,1225.444,3.0,3.0
684,Pine Crest RR,1634.338,1482.844,1582.042,6.0,7.0
685,Pittsburgh Central Catholic AH,1660.592,1540.954,1605.598,9.0,10.0
686,Pittsburgh Central Catholic HS,1510.127,1712.977,1279.538,6.0,7.0
687,Poly Prep Country Day BL,1869.625,1510.474,2136.915,3.0,3.0
688,Polytechnic BH,1191.326,1139.84,1166.424,3.0,4.0
689,Polytechnic HG,710.607,1043.156,1097.523,3.0,3.0
690,Polytechnic TK,1878.305,1735.799,1997.765,8.0,6.0
691,Princeton AF,1447.739,1151.406,1620.112,3.0,3.0
692,Prosper AV,1601.435,1505.491,1642.562,3.0,3.0
693,Prosper CG,1966.951,1822.506,1755.089,3.0,3.0
694,Prosper HS,1252.265,1387.435,1330.489,3.0,3.0
695,Quarry Lane AC,1600.0,1600.0,1600.0,0.0,0.0
696,Quarry Lane AM,2211.025,2088.462,2199.575,14.0,17.0
697,Quarry Lane CK,1732.499,1759.013,1628.506,4.0,2.0
698,Quarry Lane CM,2512.983,2520.655,2298.066,3.0,4.0
699,Quarry Lane HG,1915.892,1751.059,1973.224,14.0,13.0
700,Quarry Lane KP,1903.83,1903.837,1824.394,6.0,7.0
701,Quarry Lane PS,1831.054,1641.024,1867.909,15.0,17.0
702,Quarry Lane YY,2176.09,1993.7,2227.028,7.0,7.0
703,Reagan FP,1770.335,1828.376,1553.312,3.0,3.0
704,Rock Hill AS,1297.279,1080.818,1553.875,3.0,3.0
